Epoch 2140/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 2150/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 2160/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2170/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2180/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2190/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2200/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2210/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2220/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2230/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2240/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2250/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2260/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2270/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2280/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2290/100000, Disc Loss: 0.67, Gen Loss: 0.76 
Epoch 2300/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2310/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2320/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2330/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2340/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2350/100000, Disc Loss: 0.65, Gen Loss: 0.83 
Epoch 2360/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2370/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2380/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2390/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2400/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2410/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 2420/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2430/100000, Disc Loss: 0.65, Gen Loss: 0.82 
Epoch 2440/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2450/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2460/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 2470/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2480/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2490/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2500/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2510/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2520/100000, Disc Loss: 0.65, Gen Loss: 0.87 
Epoch 2530/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2540/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2550/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 2560/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2570/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2580/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2590/100000, Disc Loss: 0.65, Gen Loss: 0.85 
Epoch 2600/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2610/100000, Disc Loss: 0.65, Gen Loss: 0.84 
Epoch 2620/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 2630/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 2640/100000, Disc Loss: 0.62, Gen Loss: 1.0 
Epoch 2650/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2660/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2670/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2680/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2690/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2700/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 2710/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2720/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 2730/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2740/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2750/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2760/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2770/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 2780/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2790/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2800/100000, Disc Loss: 0.67, Gen Loss: 0.81 
Epoch 2810/100000, Disc Loss: 0.66, Gen Loss: 0.82 
Epoch 2820/100000, Disc Loss: 0.65, Gen Loss: 0.83 
Epoch 2830/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2840/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 2850/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 2860/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 2870/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 2880/100000, Disc Loss: 0.65, Gen Loss: 0.83 
Epoch 2890/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2900/100000, Disc Loss: 0.66, Gen Loss: 0.83 
Epoch 2910/100000, Disc Loss: 0.64, Gen Loss: 0.89 
Epoch 2920/100000, Disc Loss: 0.63, Gen Loss: 0.95 
Epoch 2930/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 2940/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 2950/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 2960/100000, Disc Loss: 0.65, Gen Loss: 0.87 
Epoch 2970/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 2980/100000, Disc Loss: 0.64, Gen Loss: 0.9 
Epoch 2990/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3000/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3010/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3020/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3030/100000, Disc Loss: 0.65, Gen Loss: 0.84 
Epoch 3040/100000, Disc Loss: 0.65, Gen Loss: 0.84 
Epoch 3050/100000, Disc Loss: 0.66, Gen Loss: 0.79 
Epoch 3060/100000, Disc Loss: 0.64, Gen Loss: 0.89 
Epoch 3070/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3080/100000, Disc Loss: 0.65, Gen Loss: 0.86 
Epoch 3090/100000, Disc Loss: 0.67, Gen Loss: 0.8 
Epoch 3100/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 3110/100000, Disc Loss: 0.66, Gen Loss: 0.8 
Epoch 3120/100000, Disc Loss: 0.66, Gen Loss: 0.81 
Epoch 3130/100000, Disc Loss: 0.65, Gen Loss: 0.86 
Epoch 3140/100000, Disc Loss: 0.67, Gen Loss: 0.79 
Epoch 3150/100000, Disc Loss: 0.65, Gen Loss: 0.84 
Epoch 3160/100000, Disc Loss: 0.67, Gen Loss: 0.78 
Epoch 3170/100000, Disc Loss: 0.67, Gen Loss: 0.8 
